Date,Event,Category,Impact on Oil Market
1990-08-02,Gulf War,Geopolitical Shocks,"Iraq invades Kuwait, freezing exports from both nations and causing a sharp, brief price spike."
1997-11-27,OPEC Jakarta Meeting,OPEC Decisions,"OPEC raises output quotas just as the Asian Financial Crisis hits, triggering a severe global price crash."
2001-09-11,9/11 Terror Attacks,Geopolitical Shocks,"Attacks cause immediate aviation fuel demand destruction, followed by long-term geopolitical risk premiums in the Middle East."
2003-03-19,Iraq War Invasion,Geopolitical Shocks,"US-led invasion severely disrupts Iraqi oil infrastructure, taking millions of barrels offline and tightening global supply."
2008-07-11,Global Financial Crisis,Economic Shocks,"Crude prices peak at an all-time high of $147 per barrel before plunging below $40 due to global demand destruction."
2011-02-15,Arab Spring & Libyan Civil War,Geopolitical Shocks,"Regional uprisings disrupt Libyan sweet crude exports, pushing global oil prices back above $100 per barrel."
2014-11-27,OPEC Market Share Shift,OPEC Decisions,"OPEC refuses to cut production, launching a price war against US shale that crashes global crude prices."
2016-11-30,Declaration of Cooperation (OPEC+),OPEC Decisions,"OPEC partners with 10 non-OPEC nations, including Russia, to form OPEC+ and implement coordinated output cuts."
2019-09-14,Abqaiq-Khurais Drone Attacks,Geopolitical Shocks,"Drone strikes on Saudi Aramco facilities temporarily knock out 5% of global oil supply, causing a record intraday price spike."
2020-03-06,OPEC+ Price War,OPEC Decisions,"Russia refuses proposed output cuts, prompting Saudi Arabia to launch a brief price war and flood the market."
2020-04-20,COVID-19 Demand Collapse,Economic Shocks,"Pandemic lockdowns destroy global fuel demand, causing WTI crude futures to crash into negative territory (-$37.63) for the first time."
2022-02-24,Russia-Ukraine War,Geopolitical Shocks,"Russia invades Ukraine, triggering Western sanctions, self-sanctioning by buyers, and major structural re-routing of global crude flows."
2023-10-07,Israel-Hamas Conflict,Geopolitical Shocks,"Outbreak of war in Gaza injects a persistent geopolitical risk premium into oil markets due to fears of wider Middle East escalation."
2026-04-28,UAE Separation from OPEC+,OPEC Decisions,"The United Arab Emirates formally leaves the alliance to maximize production capacity utilization, realigning Gulf market shares."
2026-07-05,OPEC+ Summer Output Reset,OPEC Decisions,"Remaining alliance members recalibrate voluntary output cuts to balance shifting compliance levels and non-OPEC supply surges."
